InstrumentName, Lake Arbot,,
StartTime, 2018-01-01 00:00:00,,
EndTime, 2018-01-31 23:59:59,,
Date,PM2.5,humidity,temp_f
01/01/2018 20:33:28.633333,38.05,28.0,42.0
01/01/2018 20:34:48.630000,37.57,28.0,42.0
01/01/2018 20:37:28.826666,38.53,28.0,42.0
01/01/2018 20:38:48.656666,36.83,27.0,42.0
01/01/2018 20:41:28.723333,37.29,27.0,42.0
01/01/2018 20:42:48.646666,38.6,27.0,42.0
01/01/2018 20:45:28.683333,37.37,27.0,41.0
01/01/2018 20:46:48.786666,37.68,27.0,42.0
01/01/2018 20:49:28.643333,37.63,27.0,42.0
01/01/2018 20:50:48.616666,38.62,27.0,42.0
01/01/2018 20:53:28.616666,38.19,27.0,42.0
01/01/2018 20:54:48.620000,39.29,28.0,42.0
01/01/2018 20:57:28.866666,38.48,27.0,42.0
01/01/2018 20:58:48.690000,37.85,27.0,42.0
01/01/2018 21:01:28.726666,38.71,27.0,42.0
01/01/2018 21:02:48.706666,37.56,27.0,43.0
01/01/2018 21:05:28.836666,38.24,27.0,43.0
01/01/2018 21:06:48.786666,39.51,27.0,43.0
01/01/2018 21:09:28.673333,37.31,27.0,43.0
01/01/2018 21:13:28.646666,36.68,26.0,44.0
01/01/2018 21:14:48.840000,37.51,26.0,44.0
01/01/2018 21:17:28.686666,38.6,26.0,44.0
01/01/2018 21:18:48.760000,36.88,26.0,44.0
01/01/2018 21:21:28.670000,36.71,26.0,43.0
01/01/2018 21:22:48.836666,38.95,26.0,43.0
01/01/2018 21:25:28.836666,38.17,26.0,43.0
01/01/2018 21:26:48.773333,38.73,26.0,44.0
01/01/2018 21:29:28.783333,38.48,26.0,44.0
01/01/2018 21:30:48.710000,37.67,26.0,44.0
01/01/2018 21:33:28.736666,37.76,26.0,43.0
01/01/2018 21:34:48.943333,37.2,26.0,44.0
01/01/2018 21:37:28.673333,38.45,25.0,44.0
01/01/2018 21:38:48.673333,38.37,25.0,44.0
01/01/2018 21:41:28.803333,38.95,26.0,44.0
01/01/2018 21:42:48.746666,39.73,25.0,44.0
01/01/2018 21:45:28.683333,37.62,25.0,44.0
01/01/2018 21:46:48.976666,37.9,25.0,44.0
01/01/2018 21:49:28.683333,39.07,25.0,44.0
01/01/2018 21:50:48.793333,38.52,25.0,43.0
01/01/2018 21:53:28.723333,38.23,25.0,44.0
01/01/2018 21:54:48.690000,38.97,25.0,43.0
01/01/2018 21:57:28.836666,40.73,26.0,43.0
01/01/2018 21:58:48.706666,39.19,26.0,44.0
01/01/2018 22:01:28.703333,38.48,26.0,44.0
01/01/2018 22:02:48.746666,38.61,26.0,44.0
01/01/2018 22:05:28.730000,38.05,26.0,43.0
01/01/2018 22:06:48.703333,38.48,26.0,43.0
01/01/2018 22:09:28.746666,39.93,26.0,43.0
01/01/2018 22:10:48.743333,39.78,26.0,43.0
01/01/2018 22:13:28.820000,41.52,26.0,43.0
01/01/2018 22:14:49.510000,40.53,26.0,43.0
01/01/2018 22:17:28.753333,41.22,26.0,43.0
01/01/2018 22:18:49.026666,40.86,26.0,43.0
01/01/2018 22:21:28.763333,41.62,26.0,42.0
01/01/2018 22:22:48.906666,42.15,26.0,43.0
01/01/2018 22:25:28.776666,42.1,26.0,42.0
01/01/2018 22:26:48.723333,41.29,27.0,42.0
01/01/2018 22:29:28.823333,40.48,27.0,42.0
01/01/2018 22:30:51.446666,40.27,27.0,42.0
01/01/2018 22:33:28.760000,40.03,27.0,42.0
01/01/2018 22:34:49.116666,39.1,27.0,42.0
01/01/2018 22:37:28.720000,38.65,27.0,42.0
01/01/2018 22:38:49.016666,41.43,27.0,42.0
01/01/2018 22:41:28.783333,39.67,27.0,42.0
01/01/2018 22:42:48.873333,38.95,27.0,41.0
01/01/2018 22:45:28.866666,40.57,27.0,41.0
01/01/2018 22:46:48.773333,38.97,27.0,41.0
01/01/2018 22:49:28.946666,38.88,28.0,41.0
01/01/2018 22:50:48.860000,39.78,28.0,41.0
01/01/2018 22:53:28.780000,40.88,28.0,41.0
01/01/2018 22:54:48.796666,41.85,28.0,41.0
01/01/2018 22:57:28.823333,39.36,28.0,41.0
01/01/2018 22:58:48.773333,39.2,28.0,41.0
